URL,Quote,Subline,Explanation
https://www.politifact.com/factchecks/2024/nov/27/facebook-posts/no-elon-musk-did-not-announce-a-tesla-motor-home/,"“Elon Musk reveals Tesla 2025 motorhome for under $17,000!”","No, Elon Musk did not announce a Tesla motor home","Tesla’s website does not list a motor home for sale. It includes other vehicles that have not yet been produced, such as the ""cybercab"" and ""robovan.""
We searched Google for reports of a Tesla motor home, but found no credible results."
https://www.politifact.com/factchecks/2024/nov/27/instagram-posts/an-old-trump-campaign-video-with-a-plan-for-free-c/,Video shows President-elect Donald Trump announcing “free college education” in November 2024.,An old Trump campaign video with a plan for free college is mischaracterized online as new policy,This video is from November 2023.
https://www.politifact.com/factchecks/2024/nov/27/viral-image/no-abortion-clinics-havent-warned-of-bankruptcy-be/,“Abortion clinics warn they’ll go bankrupt if Democrat ‘sex strike’ continues.”,"No, abortion clinics haven’t warned of bankruptcy because of a Democratic ‘sex strike’",This claim is unfounded and originated on a website that has previously published fabricated headlines.
https://www.politifact.com/factchecks/2024/nov/27/facebook-posts/smallpox-was-officially-eradicated-in-1980-it-does/,"Smallpox was “never eradicated, it’s held in check by vaccines,” and RFK Jr. would eliminate coverage for the smallpox vaccine.",Smallpox was officially eradicated in 1980. It doesn’t need to be held in check by vaccines,"The World Health Organization in 1980 officially declared smallpox eradicated. The last natural case was in 1977.
The smallpox vaccine helped eradicate the smallpox virus. Because the virus doesn’t exist in the general public, vaccination is no longer required to keep it in check.
Robert F. Kennedy Jr., who is  President-elect Donald Trump’s nominee for health and human services secretary, has said in recent interviews he would make vaccinations a personal choice."
https://www.politifact.com/factchecks/2024/nov/27/instagram-posts/no-the-cdc-doesnt-recommend-seven-covid-19-vaccine/,“The CDC says that little 6 month old babies must get SEVEN doses of the Covid vaccine in order to be considered fully ‘up to date’ on their vaccinations.”,"No, the CDC doesn’t recommend seven COVID-19 vaccine doses for 6-month-olds","For unvaccinated children 6 months to 4 years old, the Centers for Disease Control and Prevention recommends two to three doses, depending on the vaccine brand.
For any updated booster after the initial series, children and adults need only one dose."
https://www.politifact.com/factchecks/2024/nov/27/threads-posts/marjorie-taylor-greene-quote-about-matt-gaetz-cong/,"Rep. Marjorie Taylor Greene said “if every member of Congress had to resign for doing what Matt Gaetz has been accused of, Democrats would have a supermajority.’""","Marjorie Taylor Greene quote about Matt Gaetz, Congress members originated on satire account","A comment attributed to Rep. Marjorie Taylor Greene, R-Ga., about Matt Gaetz and other members of Congress originated from a satirical X account."
https://www.politifact.com/factchecks/2024/nov/27/threads-posts/did-texas-gift-355000-acres-of-land-to-trump-for-d/,"“Texas just gifted Trump 355,000 acres for deportation camps.”","Did Texas gift 355,000 acres of land to Trump for deportation camps? No, the offer was way smaller","A Texas official did offer land to the Trump administration to assist with its deportation efforts, but the tract offered is much smaller than 355,000 acres.
Texas Land Commissioner Dawn Buckingham offered 1,402 acres in Starr County, Texas, ""to be used to construct deportation facilities."""
https://www.politifact.com/factchecks/2024/nov/27/facebook-posts/elon-musk-no-anuncio-un-telefono-tesla-de-299/,"Elon Musk dijo que ""¡El teléfono Tesla de 299 dólares será el final del iPhone!"".",Elon Musk no anunció un teléfono Tesla de $299,"Esta afirmación carece de fundamento. El 4 de noviembre, el director general de Tesla, Elon Musk, dijo que la empresa no estaba fabricando un teléfono.
Si ves algo que te hace preguntar: ¿es cierto?
Mándanoslo por WhatsApp y nuestro equipo lo investigará, (813) 260-7595.
¡Sigue nuestro canal en WhatsApp!"
https://www.politifact.com/factchecks/2024/nov/27/facebook-posts/elon-musk-el-ceo-de-tesla-no-anuncio-un-carro-impu/,"“Elon Musk, revela un nuevo motor impulsado por agua que promete cambiar por completo la industria automotriz”.","Elon Musk, el CEO de Tesla, no anunció un carro impulsado por un motor de agua","No existen fuentes creíbles que digan que Tesla reveló un automóvil impulsado por agua.
El agua es una fuente de energía poco práctica para un carro porque extraer energía del agua requiere más energía de la que produce el automóvil.
Si ves algo que te hace preguntar: ¿es cierto?
Mándanoslo por WhatsApp y nuestro equipo lo investigará, (813) 260-7595.
¡Sigue nuestro canal en WhatsApp!"
https://www.politifact.com/factchecks/2024/nov/26/facebook-posts/no-kansas-city-chiefs-tight-end-tracis-kelce-didnt/,Says Travis Kelce quit X and called it a “toxic waste dump.”,"No, Kansas City Chiefs tight end Tracis Kelce didn’t quit X and call it a ‘toxic waste dump’",This claim is unfounded.
